id,area,module,bounded_context,problem_title,problem_description,severity,status_classification,product_impact,technical_impact,evidence,recommended_strategy,split_into_how_many_prompts,dependencies
PROB-018,backend,all,cross-cutting,Event publishing not wired for newer modules,Integrations and ProductAnalytics don't publish integration events unlike older modules,MEDIUM,INCOMPLETE,No cross-module events,Event-driven architecture incomplete for new modules,P8.5 gap report,Wire event publishing,2,PROB-003 PROB-004
PROB-019,frontend,all,cross-cutting,React Router v7 instead of TanStack Router,Frontend uses react-router-dom v7 instead of documented TanStack Router,LOW,PARTIAL,Stack deviation,Documentation mismatch,package.json,Update docs or migrate,1,none
PROB-020,frontend,all,cross-cutting,No explicit Zustand store,Frontend uses React Context + TanStack Query instead of documented Zustand,LOW,PARTIAL,Stack deviation,Documentation mismatch,src/frontend/src/contexts/,Update docs,1,none
PROB-021,documentation,all,cross-cutting,Architecture docs reference outdated stack choices,Docs reference TanStack Router and Zustand but actual implementation uses React Router v7 and Context API,MEDIUM,STALE,Misleading documentation,New developers get wrong stack info,docs/architecture/,Update architecture docs to reflect actual stack,1,PROB-019 PROB-020
PROB-022,testing,all,cross-cutting,Low unit test coverage across newer modules,Knowledge Integrations ProductAnalytics and OperationalIntelligence have minimal or no unit tests,HIGH,INCOMPLETE,Quality risk,Regressions undetected,tests/unit/,Add unit tests per module,6,none
PROB-023,testing,all,cross-cutting,No E2E tests for critical flows,Playwright test project exists but no E2E specs for login contract-creation or change-promotion flows,MEDIUM,INCOMPLETE,No automated E2E validation,Manual testing only,tests/e2e/,Create E2E test suite,3,none
PROB-024,backend,all,cross-cutting,Seeder data needed for demo/evaluation,No structured seed data for demo environments making evaluation difficult without manual setup,MEDIUM,INCOMPLETE,Poor first-run experience,Evaluators see empty system,scripts/,Create seeder scripts,2,none
PROB-025,backend,all,cross-cutting,Outbox processor coverage incomplete,OutboxProcessor handles events but newer modules may not register outbox entries correctly,MEDIUM,PARTIAL,Events may be lost,Unreliable cross-module communication,src/building-blocks/Infrastructure/,Verify outbox registration per module,2,PROB-018
PROB-026,backend,apihost,Platform,Rate limiting uses in-memory store,Rate limiting configured with in-memory FixedWindowRateLimiter which does not distribute across instances,LOW,PARTIAL,Single instance only,Cannot scale horizontally with rate limiting,src/platform/NexTraceOne.ApiHost/,Document limitation or add distributed store,1,none
PROB-027,backend,identityaccess,Identity,API key storage uses reversible encryption,API keys stored with AES encryption rather than one-way hash making them recoverable if DB compromised,MEDIUM,SECURITY_CONCERN,Key exposure risk,Compromised DB exposes all API keys,src/modules/identityaccess/Infrastructure/,Migrate to hashed storage with prefix display,1,none
PROB-028,backend,identityaccess,Identity,JWT signing key rotation not implemented,JWT signing uses static key from configuration with no rotation mechanism,MEDIUM,SECURITY_CONCERN,Key compromise risk,Long-lived signing keys,src/building-blocks/Security/,Implement key rotation strategy,1,none
PROB-029,backend,all,cross-cutting,No structured error codes catalog,Error responses use ad-hoc message strings rather than a centralized error code catalog,MEDIUM,INCOMPLETE,Inconsistent error handling,Frontend cannot reliably handle specific errors,API controllers across modules,Create error code catalog,2,none
PROB-030,frontend,all,cross-cutting,i18n coverage gaps in newer modules,Operations AI-Hub and Governance pages have hardcoded English strings not using i18n keys,HIGH,INCOMPLETE,i18n non-functional for some pages,Cannot localize newer pages,src/frontend/src/features/,Add missing i18n keys,4,none
PROB-031,backend,changegovernance,Changes,Change-to-incident correlation not implemented,ChangeGovernance module has blast radius entities but no actual incident correlation logic,HIGH,INCOMPLETE,Change Intelligence gap,Cannot correlate changes to incidents,src/modules/changegovernance/Application/,Implement correlation handlers,2,PROB-005
PROB-032,backend,changegovernance,Changes,Evidence pack generation is placeholder,EvidencePack entity exists but generation logic returns minimal static data,MEDIUM,STUB,Evidence incomplete,Cannot prove change safety,src/modules/changegovernance/,Implement evidence collection,1,PROB-031
PROB-033,backend,operationalintelligence,Operations,No real telemetry ingestion pipeline,OperationalIntelligence has DbContexts but no actual OpenTelemetry or log ingestion adapters,HIGH,INCOMPLETE,No real observability data,Module depends entirely on simulated data,src/modules/operationalintelligence/Infrastructure/,Build ingestion pipeline,3,PROB-005
PROB-034,backend,catalog,Contracts,Contract diff engine is basic,Contract versioning exists but semantic diff only handles simple JSON schema changes not full OpenAPI diff,MEDIUM,PARTIAL,Diff misses breaking changes,False negatives on compatibility,src/modules/catalog/Application/,Enhance diff engine,2,none
PROB-035,backend,auditcompliance,Audit,Audit retention policy not configurable,Audit events accumulate without configurable retention or archival strategy,MEDIUM,INCOMPLETE,Unbounded storage growth,Performance degradation over time,src/modules/auditcompliance/,Add retention configuration,1,none
PROB-036,frontend,ai-hub,AI,AI conversation history not persisted,AI assistant conversations are lost on page refresh as state is only in component memory,MEDIUM,INCOMPLETE,Poor AI UX,Users lose conversation context,src/frontend/src/features/ai-hub/,Persist to backend,1,PROB-008
PROB-037,backend,notifications,Notifications,Email notification channel not fully tested,SMTP integration exists but no integration tests verify actual email delivery,LOW,PARTIAL,Email reliability unknown,Notifications may silently fail,src/modules/notifications/Infrastructure/,Add integration tests,1,none
PROB-038,backend,configuration,Configuration,Feature flags have no UI management,Feature flags are stored in DB but no admin UI exists for toggling them,MEDIUM,INCOMPLETE,Admin must use DB directly,No self-service flag management,src/modules/configuration/,Build admin UI page,1,none
PROB-039,security,all,cross-cutting,No CSRF token rotation on sensitive actions,CSRF protection exists but tokens are not rotated after sensitive actions like password change,LOW,SECURITY_CONCERN,Session fixation risk,Stale CSRF tokens after auth changes,src/building-blocks/Security/,Add rotation after sensitive actions,1,none
PROB-040,backend,all,cross-cutting,Health checks do not cover all dependencies,Health endpoint checks PostgreSQL but not external integrations or background worker health,MEDIUM,PARTIAL,Incomplete health monitoring,Degraded dependencies not detected,src/platform/NexTraceOne.ApiHost/,Add comprehensive health checks,1,none
