path,file_type,area,module,bounded_context,purpose,status,product_alignment,evidence,risk,recommended_action,priority
src/frontend/src/features/operational-intelligence/,frontend,op-intel,Operations,FinOps config,PARTIAL,MEDIUM,1 file,LOW,COMPLETE,P3
src/frontend/src/features/notifications/,frontend,notifications,Notifications,Notification center,READY,MEDIUM,8 files,LOW,KEEP,P1
src/frontend/src/features/audit-compliance/,frontend,audit,Audit,Audit pages,PARTIAL,MEDIUM,4 files,LOW,COMPLETE,P3
src/frontend/src/features/configuration/,frontend,configuration,Configuration,Config admin,READY,MEDIUM,4 files,LOW,KEEP,P1
src/frontend/src/features/knowledge/,frontend,knowledge,Knowledge,Knowledge hub pages,PARTIAL,HIGH,3 files,MEDIUM,COMPLETE,P2
src/frontend/src/contexts/,frontend,contexts,Cross-cutting,React context providers,READY,MEDIUM,auth/theme/notification contexts,LOW,KEEP,P1
src/frontend/src/components/,frontend,components,Cross-cutting,Shared UI components,READY,HIGH,design system primitives,LOW,KEEP,P1
src/frontend/src/hooks/,frontend,hooks,Cross-cutting,Custom React hooks,READY,MEDIUM,useAuth/useApi/useDebounce,LOW,KEEP,P1
src/frontend/src/i18n/,frontend,i18n,Cross-cutting,Internationalization resources,PARTIAL,HIGH,en/pt translation files,MEDIUM,COMPLETE,P2
src/frontend/src/lib/,frontend,lib,Cross-cutting,API client and utilities,READY,HIGH,axios config/helpers,LOW,KEEP,P1
src/frontend/src/layouts/,frontend,layouts,Cross-cutting,Page layout shells,READY,MEDIUM,sidebar/header/main,LOW,KEEP,P1
src/frontend/src/routes/,frontend,routes,Cross-cutting,Route definitions,READY,HIGH,react-router-dom v7,LOW,KEEP,P1
docs/,documentation,docs,Documentation,Product and architecture docs,PARTIAL,HIGH,multiple markdown files,MEDIUM,COMPLETE,P2
docs/architecture/,documentation,docs-architecture,Documentation,Architecture decision records,PARTIAL,HIGH,ADRs and diagrams,MEDIUM,COMPLETE,P2
docs/product/,documentation,docs-product,Documentation,Product vision and roadmap,PARTIAL,HIGH,vision documents,MEDIUM,COMPLETE,P2
docs/operations/,documentation,docs-operations,Documentation,Operational runbooks,INCOMPLETE,MEDIUM,minimal content,MEDIUM,COMPLETE,P3
docs/security/,documentation,docs-security,Documentation,Security architecture,INCOMPLETE,HIGH,minimal content,HIGH,COMPLETE,P2
tests/,tests,tests,Cross-cutting,Test projects root,PARTIAL,HIGH,unit and integration tests,MEDIUM,COMPLETE,P2
tests/unit/,tests,tests-unit,Cross-cutting,Unit test projects,PARTIAL,HIGH,per-module test coverage,MEDIUM,COMPLETE,P2
tests/integration/,tests,tests-integration,Cross-cutting,Integration test projects,PARTIAL,HIGH,API integration tests,MEDIUM,COMPLETE,P2
tests/e2e/,tests,tests-e2e,Cross-cutting,End-to-end test projects,INCOMPLETE,MEDIUM,Playwright specs,MEDIUM,COMPLETE,P3
docker-compose.yml,infrastructure,docker,Platform,Container orchestration,READY,MEDIUM,PostgreSQL/services,LOW,KEEP,P1
docker-compose.override.yml,infrastructure,docker,Platform,Dev overrides,READY,LOW,local dev settings,LOW,KEEP,P1
Dockerfile.apihost,infrastructure,docker,Platform,API host container,READY,MEDIUM,.NET container build,LOW,KEEP,P1
Dockerfile.frontend,infrastructure,docker,Platform,Frontend container,READY,MEDIUM,Node/React build,LOW,KEEP,P1
Dockerfile.ingestion,infrastructure,docker,Platform,Ingestion API container,READY,MEDIUM,.NET container build,LOW,KEEP,P1
Dockerfile.workers,infrastructure,docker,Platform,Workers container,READY,MEDIUM,Quartz job runner,LOW,KEEP,P1
scripts/,infrastructure,scripts,Platform,Build and deploy scripts,PARTIAL,MEDIUM,shell scripts,LOW,COMPLETE,P3
infra/,infrastructure,infra,Platform,Infrastructure as code,PARTIAL,MEDIUM,deployment configs,LOW,COMPLETE,P3
tools/,infrastructure,tools,Platform,Developer tooling,PARTIAL,LOW,helper utilities,LOW,COMPLETE,P4
build/,infrastructure,build,Platform,Build configuration,READY,MEDIUM,MSBuild props,LOW,KEEP,P1
Directory.Build.props,infrastructure,build,Platform,Shared MSBuild properties,READY,HIGH,central package versions,LOW,KEEP,P1
Directory.Packages.props,infrastructure,build,Platform,Central package management,READY,HIGH,NuGet CPM,LOW,KEEP,P1
global.json,infrastructure,build,Platform,.NET SDK version pin,READY,MEDIUM,SDK version lock,LOW,KEEP,P1
NexTraceOne.sln,infrastructure,solution,Platform,Solution file,READY,HIGH,all projects referenced,LOW,KEEP,P1
src/modules/identityaccess/Domain/,backend,identityaccess-domain,Identity,Domain entities and value objects,READY,HIGH,21 entities,LOW,KEEP,P1
src/modules/identityaccess/Application/,backend,identityaccess-app,Identity,Command/Query handlers,READY,HIGH,40 handlers,LOW,KEEP,P1
src/modules/identityaccess/Infrastructure/,backend,identityaccess-infra,Identity,EF Core persistence,READY,HIGH,repositories/configs,LOW,KEEP,P1
src/modules/identityaccess/Contracts/,backend,identityaccess-contracts,Identity,Public DTOs and interfaces,READY,HIGH,cross-module contracts,LOW,KEEP,P1
src/modules/catalog/Domain/,backend,catalog-domain,Catalog,Service/Contract/Team domain,READY,HIGH,rich domain model,LOW,KEEP,P1
src/modules/catalog/Application/,backend,catalog-app,Catalog,Command/Query handlers,READY,HIGH,extensive CQRS,LOW,KEEP,P1
src/modules/catalog/Infrastructure/,backend,catalog-infra,Catalog,3 DbContexts persistence,READY,HIGH,ServiceDb/ContractDb/TeamDb,LOW,KEEP,P1
src/modules/catalog/Contracts/,backend,catalog-contracts,Catalog,Public DTOs and interfaces,READY,HIGH,cross-module contracts,LOW,KEEP,P1
src/modules/changegovernance/Domain/,backend,change-domain,Changes,Change/Release domain entities,PARTIAL,HIGH,promotion/blast radius,MEDIUM,COMPLETE,P2
src/modules/changegovernance/Application/,backend,change-app,Changes,Change intelligence handlers,PARTIAL,HIGH,promotion workflows,MEDIUM,COMPLETE,P2
src/modules/changegovernance/Infrastructure/,backend,change-infra,Changes,4 DbContexts persistence,PARTIAL,HIGH,Change/Release/Promotion/Evidence,MEDIUM,COMPLETE,P2
src/modules/governance/Domain/,backend,governance-domain,Governance,Report/Risk/Compliance domain,PARTIAL,HIGH,FinOps entities,MEDIUM,COMPLETE,P2
src/modules/governance/Application/,backend,governance-app,Governance,56 handlers (some partial),PARTIAL,HIGH,TODO comments in 8 handlers,MEDIUM,COMPLETE,P2
src/modules/aiknowledge/Domain/,backend,ai-domain,AI,AI model/agent/policy domain,PARTIAL,HIGH,11 entities,MEDIUM,COMPLETE,P2
src/modules/aiknowledge/Application/,backend,ai-app,AI,AI handlers (11 empty),PARTIAL,HIGH,stubs need implementation,HIGH,COMPLETE,P2
src/modules/aiknowledge/Infrastructure/,backend,ai-infra,AI,3 DbContexts persistence,PARTIAL,HIGH,Runtime/Governance/Orchestration,MEDIUM,COMPLETE,P2
src/modules/operationalintelligence/Domain/,backend,opint-domain,Operations,Reliability/Cost/Incident domain,PARTIAL,HIGH,IsSimulated entities,HIGH,COMPLETE,P2
src/modules/operationalintelligence/Application/,backend,opint-app,Operations,13 handlers with IsSimulated,PARTIAL,HIGH,simulated data returns,HIGH,COMPLETE,P2
src/modules/operationalintelligence/Infrastructure/,backend,opint-infra,Operations,5 DbContexts persistence,PARTIAL,HIGH,Reliability/Cost/Incident/Automation/Dashboard,MEDIUM,COMPLETE,P2
