path,component_name,category,pages_using_it,purpose,visual_consistency,functional_consistency,accessibility_notes,design_system_alignment,reuse_score,status,recommended_action
src/components/Typography.tsx,Typography,base-ui,"Poucas páginas","Utilitário de tipografia","Bom","Bom","Dependente de tag usada","Bom","3","weak","keep — promover uso em vez de classes Tailwind inline"
src/components/ErrorBoundary.tsx,ErrorBoundary,system,"App.tsx (top-level)","React error boundary global","N/A","Excelente","N/A","N/A","2","good","keep"
src/components/DemoBanner.tsx,DemoBanner,system,"AppShell (condicional)","Banner de modo demo","Bom","Bom","Verificar role=status","Bom","2","good","keep"
src/components/OnboardingHints.tsx,OnboardingHints,onboarding,"DashboardPage (estimado)","Dicas de onboarding","Bom","Bom","Verificar dismiss acessível","Bom","2","weak","keep — adicionar dismiss persistente (localStorage flag)"
src/components/ModuleHeader.tsx,ModuleHeader,layout,"Páginas de módulo","Cabeçalho de módulo/seção","Bom (estimado)","Bom","Verificar heading level","Bom","4","good","keep"
src/components/ProtectedRoute.tsx,ProtectedRoute,system,"App.tsx — todas as rotas protegidas","Guard de rota com verificação de permissão","N/A","Excelente","N/A","N/A","10","good","keep"
src/components/ReleaseScopeGate.tsx,ReleaseScopeGate,system,"DashboardPage, ServiceDetailPage","Feature flag gate","N/A","Excelente","N/A","N/A","8","good","keep"
src/components/shell/AppShell.tsx,AppShell,layout,"Todas as páginas autenticadas","Wrapper principal com sidebar + topbar + outlet","Excelente","Excelente","role=navigation na sidebar; verificar aria-label de regiões","Excelente","1","good","keep_and_expand — integrar Breadcrumbs no ContentFrame"
src/components/shell/AppSidebar.tsx,AppSidebar,navigation,"AppShell","Sidebar navegável com seções por persona","Bom","Bom","role=navigation + aria-label presente; sidebar colapsada precisa de tooltips em todos itens","Bom","1","inconsistent","refactor — reduzir densidade; adicionar contadores de alerta; corrigir ícones duplicados"
src/components/shell/AppTopbar.tsx,AppTopbar,navigation,"AppShell","Barra de topo com busca, ações e user menu","Bom","Bom","Verificar role=banner","Bom","1","good","keep"
src/components/shell/FilterBar.tsx,FilterBar,layout,"ServiceCatalogListPage, ContractCatalogPage, IncidentsPage","Container de filtros","Bom","Bom","Sem role específico","Bom","6","good","keep — adicionar suporte a saved views"
src/components/shell/PageContainer.tsx,PageContainer,layout,"DashboardPage, IncidentDetailPage, ExecutiveOverviewPage (e outros)","Container de página com max-width, padding e fade-in","Excelente","Excelente","N/A","Excelente — padding responsivo correto","8","good","keep — enforçar uso em 100% das páginas (ServiceDetailPage não usa)"
src/components/shell/PageSection.tsx,PageSection,layout,"DashboardPage, ExecutiveOverviewPage, ServiceDetailPage","Seção de página com espaçamento vertical","Bom","Bom","N/A","Bom","7","good","keep — adicionar suporte a título e ações de seção"
src/components/shell/ContentGrid.tsx,ContentGrid,layout,"DashboardPage, ExecutiveOverviewPage","Grid responsivo de 1 a 4 colunas","Bom","Bom","N/A","Bom","6","good","keep"
src/components/shell/TableWrapper.tsx,TableWrapper,layout,"ContractCatalogPage, ServiceCatalogListPage","Container responsivo de tabela","Bom","Bom","N/A","Bom","5","good","keep"
src/components/shell/DetailPanel.tsx,DetailPanel,layout,"Poucas páginas (subutilizado)","Painel lateral de detalhe","Bom (estimado)","Bom","Verificar aria-modal e focus trap","Bom","2","orphan","keep_and_expand — integrar como padrão split-view em páginas de lista"
src/components/shell/ContextStrip.tsx,ContextStrip,layout,"Não integrado no shell (órfão)","Strip de contexto da entidade ativa","N/A","N/A","N/A","Bom (estimado)","1","orphan","keep_and_expand — integrar no AppShell para mostrar ambiente/entidade ativa"
src/components/shell/EnvironmentBanner.tsx,EnvironmentBanner,system,"AppShell (logo abaixo do topbar)","Banner de ambiente ativo","Bom","Bom","Verificar role=status","Bom","1","good","keep"
src/components/shell/WorkspaceSwitcher.tsx,WorkspaceSwitcher,navigation,"AppSidebarHeader (estimado)","Seletor de tenant/workspace","Bom (estimado)","Bom","Verificar acessibilidade do dropdown","Bom","2","good","keep"
src/components/shell/StatsGrid.tsx,StatsGrid,dashboard,"ExecutiveOverviewPage (estimado)","Grid de estatísticas","Bom","Bom","N/A","Bom","3","inconsistent","refactor — integrar com StatCard para padrão unificado de KPI grid"
src/features/ai-hub/components/AssistantPanel.tsx,AssistantPanel,feature,"ServiceDetailPage, IncidentDetailPage, ContractWorkspacePage","Painel de IA assistente contextual","Bom","Bom","Verificar role=complementary e aria-label","Bom","5","good","keep_and_expand"
src/features/notifications/components/NotificationBell.tsx,NotificationBell,feature,"AppTopbarActions","Ícone de notificação com contador","Bom","Bom","aria-label com contagem necessário","Bom","2","good","keep"
"[AUSENTE]",EntityHeader,strategic-missing,"ServiceDetailPage, IncidentDetailPage, TeamDetailPage, ContractDetailPage, DomainDetailPage","Cabeçalho padronizado de entidade com nome, tipo, status, owner e ações","N/A — não existe","N/A — não existe","N/A","N/A","N/A","orphan","create — componente prioritário de design system"
"[AUSENTE]",TimelinePanel,strategic-missing,"IncidentDetailPage, ChangeDetailPage, ContractWorkspacePage","Painel de timeline reutilizável com entradas cronológicas","N/A — não existe (implementado inline em IncidentDetailPage)","N/A","N/A","N/A","N/A","orphan","create — substituir implementação inline de IncidentDetailPage"
"[AUSENTE]",OwnershipPanel,strategic-missing,"ServiceDetailPage, IncidentDetailPage, TeamDetailPage","Painel de ownership com equipa, owners técnico/negócio, dependências","N/A — não existe (implementado via Card genérico)","N/A","N/A","N/A","N/A","orphan","create — padronizar exibição de ownership em todas as entidades"
"[AUSENTE]",DiffViewer,strategic-missing,"ContractWorkspacePage, PromotionPage, ChangeDetailPage","Visualizador de diff para contratos, configurações e mudanças","N/A — não existe","N/A","N/A","N/A","N/A","orphan","create — componente crítico para change governance e contract review"
"[AUSENTE]",EvidenceDrawer,strategic-missing,"IncidentDetailPage, AuditPage, CompliancePage","Drawer de evidências com logs, correlações, links e explicações","N/A — não existe","N/A","N/A","N/A","N/A","orphan","create — relevante para Auditor persona"
"[AUSENTE]",HealthStrip,strategic-missing,"ServiceDetailPage, DashboardPage, ExecutiveOverviewPage","Strip resumida de saúde do serviço/sistema","N/A — não existe","N/A","N/A","N/A","N/A","orphan","create — sinal visual rápido de confiabilidade"
"[AUSENTE]",SplitView,strategic-missing,"ServiceCatalogListPage, ContractCatalogPage, IncidentsPage","Layout lista + detalhe lateral","N/A — não existe","N/A","N/A","N/A","N/A","orphan","create — eliminar navegação full-page para detalhe rápido"
"[AUSENTE]",RiskBadge,strategic-missing,"ExecutiveOverviewPage, RiskCenterPage, ServiceDetailPage","Badge específico de nível de risco com semântica visual forte","N/A — usa Badge genérico","N/A","N/A","N/A","N/A","orphan","create — especialização do Badge para risco"
