path,file_type,area,module,bounded_context,purpose,status,product_alignment,evidence,risk,recommended_action,priority
src/frontend/src/features/contracts/,typescript,frontend,Contracts,frontend,Contract Studio: CRUD versioning review diff Spectral governance portal,READY,HIGH,Verificado: API calls reais para /contracts,LOW,KEEP_AND_COMPLETE,P1
src/frontend/src/features/change-governance/,typescript,frontend,ChangeGovernance,frontend,Releases changes workflow promotion risk assessment,READY,HIGH,Verificado: changeIntelligenceApi.listReleases() BlastRadius ScoreDto,LOW,KEEP_AND_COMPLETE,P1
src/frontend/src/features/ai-hub/,typescript,frontend,AIKnowledge,frontend,AI chat agents model-registry policies budgets audit IDE,PARTIAL,HIGH,Verificado: UI real; AssistantPanel tem mock response generator,HIGH,KEEP_AND_COMPLETE,P1
src/frontend/src/features/catalog/,typescript,frontend,Catalog,frontend,Service catalog graph source-of-truth developer-portal search,READY,HIGH,Verificado: serviceCatalogApi.getGraph() com dados reais,LOW,KEEP_AND_COMPLETE,P1
src/frontend/src/features/operations/,typescript,frontend,Operations,frontend,Incidents runbooks reliability automation platform-ops env-comparison,READY,HIGH,Verificado: incidentsApi real com correlatedChanges,LOW,KEEP_AND_COMPLETE,P1
src/frontend/src/features/governance/,typescript,frontend,Governance,frontend,Executive FinOps reports compliance risk teams domains packs waivers,READY,HIGH,Verificado: organizationGovernanceApi.getExecutiveOverview() real,LOW,KEEP_AND_COMPLETE,P1
src/frontend/src/features/identity-access/,typescript,frontend,IdentityAccess,frontend,Login MFA tenant-selection users environments break-glass JIT delegations,READY,HIGH,Verificado: fluxo auth completo com token refresh,LOW,KEEP_AND_COMPLETE,P1
src/frontend/src/features/audit-compliance/,typescript,frontend,AuditCompliance,frontend,Audit trail viewing export filtering,READY,HIGH,Verificado: pagina real com API integration,LOW,KEEP_AND_COMPLETE,P1
src/frontend/src/features/notifications/,typescript,frontend,Notifications,frontend,Notification center preferences admin configuration,READY,MEDIUM,Verificado: paginas com API integration,MEDIUM,KEEP_AND_COMPLETE,P2
src/frontend/src/features/integrations/,typescript,frontend,Integrations,frontend,Integration hub connector config ingestion executions,READY,MEDIUM,Verificado: paginas com API integration,MEDIUM,KEEP_AND_COMPLETE,P2
src/frontend/src/features/configuration/,typescript,frontend,Configuration,frontend,Config admin advanced console,READY,MEDIUM,Verificado: paginas com API integration,MEDIUM,KEEP_AND_COMPLETE,P2
src/frontend/src/features/product-analytics/,typescript,frontend,ProductAnalytics,frontend,Usage analytics module adoption persona journey,PARTIAL,MEDIUM,Verificado: paginas existem; analytics pipeline backend incompleto,MEDIUM,KEEP_AND_COMPLETE,P3
src/frontend/src/features/operational-intelligence/,typescript,frontend,OperationalIntelligence,frontend,FinOps configuration anomaly detection taxonomy,PARTIAL,HIGH,Verificado: paginas existem com API integration limitada,MEDIUM,KEEP_AND_COMPLETE,P2
src/frontend/src/components/shell/AppSidebar.tsx,typescript,frontend,Shell,frontend,Navegacao principal com 12 secoes persona-aware e permission-gated,READY,HIGH,Verificado: sectionOrder por persona can() hook,LOW,KEEP_AND_COMPLETE,P1
src/frontend/src/releaseScope.ts,typescript,frontend,Config,frontend,Feature flags por rota (34 rotas incluidas 0 excluidas),READY,MEDIUM,Verificado: finalProductionIncludedRoutePrefixes array,LOW,KEEP_AND_COMPLETE,P2
src/frontend/src/locales/,json,frontend,i18n,frontend,Traducoes: en(4814 keys) pt-BR(3096) pt-PT(4033) es(3812),PARTIAL,HIGH,Verificado: ficheiros de traducao reais; pt-BR incompleto vs en,MEDIUM,KEEP_AND_COMPLETE,P2
src/platform/NexTraceOne.ApiHost/appsettings.json,json,config,ApiHost,platform,Config principal: 21 connection strings JWT CORS OIDC rate-limits,BROKEN,HIGH,CRITICO: senha ouro18 hardcoded em 21 strings JWT Secret vazio,CRITICAL,REMOVE_CANDIDATE,P0
src/platform/NexTraceOne.ApiHost/appsettings.Development.json,json,config,ApiHost,platform,Config desenvolvimento: overrides JWT CORS localhost,PARTIAL,MEDIUM,Verificado: JWT secret hardcoded nao random; CORS localhost OK para dev,HIGH,KEEP_AND_COMPLETE,P0
.env.example,text,config,Root,platform,Template de env vars com todas as variaveis documentadas,READY,HIGH,Verificado: documentado corretamente mas nao enforced,LOW,KEEP_AND_COMPLETE,P1
docker-compose.yml,yaml,infra,Root,platform,Stack completa: PostgreSQL ClickHouse OTel-Collector ApiHost Workers Frontend,READY,HIGH,Verificado: services health-checks networking corretos,LOW,KEEP_AND_COMPLETE,P1
docker-compose.override.yml,yaml,infra,Root,platform,Overrides locais para desenvolvimento,READY,MEDIUM,Existe; conteudo nao verificado em detalhe,LOW,KEEP_AND_COMPLETE,P2
Dockerfile.apihost,dockerfile,infra,Root,platform,Container ApiHost,READY,MEDIUM,Existe; conteudo nao verificado em detalhe,LOW,KEEP_AND_COMPLETE,P2
Dockerfile.frontend,dockerfile,infra,Root,platform,Container frontend React,READY,MEDIUM,Existe; conteudo nao verificado em detalhe,LOW,KEEP_AND_COMPLETE,P2
Dockerfile.ingestion,dockerfile,infra,Root,platform,Container Ingestion.Api,READY,MEDIUM,Existe; conteudo nao verificado em detalhe,LOW,KEEP_AND_COMPLETE,P2
Dockerfile.workers,dockerfile,infra,Root,platform,Container BackgroundWorkers,READY,MEDIUM,Existe; conteudo nao verificado em detalhe,LOW,KEEP_AND_COMPLETE,P2
build/clickhouse/init-schema.sql,sql,infra,Observability,platform,Schema ClickHouse: otel_logs otel_traces otel_metrics com TTL e particionamento,READY,HIGH,Verificado: schema completo MergeTree particionamento mensal,LOW,KEEP_AND_COMPLETE,P1
build/otel-collector/otel-collector.yaml,yaml,infra,Observability,platform,Configuracao OpenTelemetry Collector: receivers processors exporters,READY,HIGH,Verificado: pipeline de telemetria configurado,MEDIUM,KEEP_AND_COMPLETE,P1
infra/postgres/init-databases.sql,sql,infra,Database,platform,Inicializacao PostgreSQL: database nextraceone users permissions,READY,HIGH,Verificado: criacao de base de dados e utilizadores,LOW,KEEP_AND_COMPLETE,P1
.github/workflows/ci.yml,yaml,pipeline,CI,platform,Pipeline CI: build test code-analysis,PARTIAL,HIGH,Existe; qualidade dos gates nao verificada em detalhe,MEDIUM,KEEP_AND_COMPLETE,P1
.github/workflows/e2e.yml,yaml,pipeline,E2E,platform,Pipeline E2E: Playwright tests,PARTIAL,HIGH,Existe; cobertura de testes nao verificada,MEDIUM,KEEP_AND_COMPLETE,P2
.github/workflows/staging.yml,yaml,pipeline,Staging,platform,Pipeline staging: build test deploy,PARTIAL,HIGH,Existe; configuracao nao verificada em detalhe,MEDIUM,KEEP_AND_COMPLETE,P2
.github/workflows/production.yml,yaml,pipeline,Production,platform,Pipeline producao: deploy gated,PARTIAL,HIGH,Existe; gates de qualidade nao verificados,HIGH,KEEP_AND_COMPLETE,P1
.github/workflows/security.yml,yaml,pipeline,Security,platform,Pipeline seguranca: dependency scanning vulnerability checks,PARTIAL,HIGH,Verificado: usa NEXTRACE_SKIP_INTEGRITY=true em builds (bypass),HIGH,KEEP_AND_COMPLETE,P1
tests/modules/catalog/NexTraceOne.Catalog.Tests/,csproj,tests,Catalog,catalog,Testes unitarios e integracao do modulo Catalog,PARTIAL,HIGH,Estrutura real com xunit FluentAssertions; cobertura nao medida,MEDIUM,KEEP_AND_COMPLETE,P2
tests/modules/changegovernance/NexTraceOne.ChangeGovernance.Tests/,csproj,tests,ChangeGovernance,changegovernance,Testes do modulo ChangeGovernance,PARTIAL,HIGH,Estrutura real; cobertura nao medida,MEDIUM,KEEP_AND_COMPLETE,P2
tests/modules/identityaccess/NexTraceOne.IdentityAccess.Tests/,csproj,tests,IdentityAccess,identityaccess,Testes do modulo IdentityAccess,PARTIAL,HIGH,Estrutura real; cobertura nao medida,MEDIUM,KEEP_AND_COMPLETE,P2
tests/modules/aiknowledge/NexTraceOne.AIKnowledge.Tests/,csproj,tests,AIKnowledge,aiknowledge,Testes do modulo AIKnowledge,PARTIAL,HIGH,Verificado: 50+ testes unitarios para Governance,MEDIUM,KEEP_AND_COMPLETE,P2
tests/platform/NexTraceOne.IntegrationTests/,csproj,tests,Integration,platform,Testes de integracao: Testcontainers WebApplicationFactory,PARTIAL,HIGH,Existe com dependencias corretas; cobertura nao medida,HIGH,KEEP_AND_COMPLETE,P1
tests/platform/NexTraceOne.E2E.Tests/,csproj,tests,E2E,platform,Testes E2E backend,PARTIAL,HIGH,Existe; conteudo nao verificado,HIGH,KEEP_AND_COMPLETE,P2
tests/load/,js,tests,LoadTesting,platform,K6 load testing com scenarios helpers config,PARTIAL,MEDIUM,Existe README e estrutura; scenarios nao verificados,MEDIUM,KEEP_AND_COMPLETE,P3
src/frontend/e2e/,typescript,tests,E2E,frontend,Playwright E2E testes frontend,PARTIAL,HIGH,Existe; cobertura nao medida,HIGH,KEEP_AND_COMPLETE,P2
docs/audits/,markdown,docs,Audits,shared,Auditorias tecnicas e de produto,PARTIAL,HIGH,Este diretorio - criado nesta auditoria,LOW,KEEP_AND_COMPLETE,P1
docs/11-review-modular/,markdown,docs,Reviews,shared,773 ficheiros de revisao modular por bounded context,EXTENSIVE_CONTRADICTORY,MEDIUM,Verificado: contradições entre auditorias de marco vs julho para IA,HIGH,CONSOLIDATE_CANDIDATE,P2
docs/architecture/legacy-seeds/,sql,docs,Seeds,shared,Seeds SQL legados com prefixos de tabela antigos,DEPRECATED,LOW,Verificado: usam prefixos antigos (identity_* em vez de iam_*),HIGH,ARCHIVE_CANDIDATE,P1
PRODUCT-SCOPE.md,markdown,docs,ProductScope,shared,Escopo oficial do produto e estado de conclusao de Onda 1,PARTIAL,HIGH,Verificado: marca handlers mock e AI dependente de modelo real,MEDIUM,KEEP_AND_COMPLETE,P1
MODULES-AND-PAGES.md,markdown,docs,ProductScope,shared,Mapeamento de modulos e paginas do produto,PARTIAL,HIGH,Existe; atualidade nao verificada,MEDIUM,KEEP_AND_COMPLETE,P2
CONTRACT-STUDIO-VISION.md,markdown,docs,ContractStudio,catalog,Visao e requisitos do Contract Studio,PARTIAL,HIGH,Existe; alinhamento com implementacao atual nao verificado,MEDIUM,KEEP_AND_COMPLETE,P2
SECURITY.md,markdown,docs,Security,shared,Politica de seguranca e guidelines,PARTIAL,MEDIUM,Verificado: documenta 7 camadas mas nao mapeia OWASP Top 10,LOW,KEEP_AND_COMPLETE,P2
BACKEND-MODULE-GUIDELINES.md,markdown,docs,Engineering,shared,Guidelines de desenvolvimento de modulos backend,READY,HIGH,Verificado: regras de desenvolvimento real,LOW,KEEP_AND_COMPLETE,P1
AI-LOCAL-IMPLEMENTATION-AUDIT.md,markdown,docs,AIAudit,aiknowledge,Auditoria de implementacao IA local - marco 2026,PARTIAL,HIGH,Verificado: diz 20-25% maturidade; contradiz relatorio julho 2025,HIGH,CONSOLIDATE_CANDIDATE,P1
.github/copilot-instructions.md,markdown,docs,ProductVision,shared,Instrucoes oficiais do produto para Copilot - fonte de verdade,READY,HIGH,Verificado: 1516 linhas com visao detalhada do produto,LOW,KEEP_AND_COMPLETE,P1
scripts/db/apply-migrations.sh,shell,scripts,Database,platform,Script bash para aplicar migrations EF Core,READY,HIGH,Existe; correto para pipeline de deploy,LOW,KEEP_AND_COMPLETE,P1
scripts/db/apply-migrations.ps1,powershell,scripts,Database,platform,Script PowerShell para aplicar migrations (Windows),READY,HIGH,Existe; suporte a IIS/Windows importante,LOW,KEEP_AND_COMPLETE,P1
scripts/db/backup.sh,shell,scripts,Database,platform,Backup de base de dados,READY,HIGH,Existe,LOW,KEEP_AND_COMPLETE,P2
scripts/deploy/smoke-check.sh,shell,scripts,Deploy,platform,Verificacao pos-deploy,READY,HIGH,Existe,MEDIUM,KEEP_AND_COMPLETE,P2
scripts/deploy/rollback.sh,shell,scripts,Deploy,platform,Script de rollback,READY,HIGH,Existe; nao verificado em detalhe,MEDIUM,KEEP_AND_COMPLETE,P2
scripts/quality/check-no-demo-artifacts.sh,shell,scripts,Quality,platform,Verificacao de ausencia de artefatos demo,READY,MEDIUM,Existe; util para qualidade,LOW,KEEP_AND_COMPLETE,P3
Directory.Build.props,xml,config,Build,shared,Configuracao global de build: .NET 10 nullable warnings,READY,HIGH,Verificado: Nullable=enable TreatWarningsAsErrors configurados,LOW,KEEP_AND_COMPLETE,P1
Directory.Packages.props,xml,config,Build,shared,Versoes centralizadas de pacotes NuGet,READY,HIGH,Verificado: MediatR FluentValidation EF Core Quartz etc.,LOW,KEEP_AND_COMPLETE,P1
global.json,json,config,Build,shared,Versao SDK .NET 10.0.100 pinada,READY,HIGH,Verificado,LOW,KEEP_AND_COMPLETE,P1
NexTraceOne.sln,sln,build,Solution,shared,Solution VS com 100 projectos organizados,READY,HIGH,Verificado: todos os modulos incluidos,LOW,KEEP_AND_COMPLETE,P1
src/building-blocks/NexTraceOne.BuildingBlocks.Security/Authentication/JwtTokenService.cs,csharp,security,Security,shared,JWT generation/validation - contém fallback key hardcoded,BROKEN,HIGH,Verificado linha 48: fallback hardcoded development-signing-key,CRITICAL,KEEP_AND_COMPLETE,P0
src/building-blocks/NexTraceOne.BuildingBlocks.Security/Encryption/AesGcmEncryptor.cs,csharp,security,Security,shared,AES-256-GCM encryption - contém fallback key hardcoded,PARTIAL,HIGH,Verificado linha 113: fallback NexTraceOne-Development-Only-Key,HIGH,KEEP_AND_COMPLETE,P0
