prompt_id,execution_order,file_name,phase,area,module,bounded_context,type,objective,main_files_count,depends_on,unblocks,can_run_in_parallel,parallel_group,risk_level
P04.2,34,P04.2-validate-otel-pipeline.md,04-integrations-observability,infra,platform,otel-pipeline,validation,Validate OTEL → Collector → ClickHouse pipeline end-to-end in Docker Compose,5,P04.1,none,no,none,medium
P04.3,35,P04.3-ingestion-semantic-processing.md,04-integrations-observability,backend,platform,ingestion,feature-implement,Make Ingestion API process payloads semantically instead of metadata-only,6,none,P04.5,yes,none,medium
P04.4,36,P04.4-github-actions-connector.md,04-integrations-observability,backend,integrations,cicd-connector,feature-implement,Implement first real CI/CD connector for GitHub Actions webhooks,7,P02.8e,P04.6,no,none,medium
P04.5,37,P04.5-canonical-deploy-event.md,04-integrations-observability,backend,operationalintelligence,deploy-events,feature-implement,Define canonical deploy event model with mappers from multiple sources,6,"P04.3|P04.4",P04.6,no,none,medium
P04.6,38,P04.6-deploy-release-correlation.md,04-integrations-observability,backend,operationalintelligence,deploy-correlation,feature-implement,Link canonical deploy events to Change Intelligence releases,6,"P04.5,P01.1,P02.3",none,no,none,medium
P05.1,39,P05.1-e2e-pr-gate.md,05-quality-hardening,ci-cd,platform,e2e-gate,pipeline-config,Make E2E tests mandatory gate on PR merges,4,"P01.3,P01.8",none,no,none,medium
P05.2,40,P05.2-code-coverage-gates.md,05-quality-hardening,ci-cd,platform,coverage,pipeline-config,Add code coverage tracking and enforcement thresholds,5,none,none,yes,group-E,low
P05.3,41,P05.3-nullable-warnings.md,05-quality-hardening,backend,cross-cutting,nullable,code-quality,Reduce 516 CS8632 nullable warnings in core modules,12,none,none,yes,group-E,low
P05.4,42,P05.4-stricter-smoke-checks.md,05-quality-hardening,ci-cd,platform,smoke-checks,pipeline-config,Add per-module status endpoint checks to staging smoke,3,none,none,yes,group-E,low
P05.5,43,P05.5-migration-validation-pipeline.md,05-quality-hardening,ci-cd,platform,migration-gate,pipeline-config,Validate all DbContext migrations apply cleanly in CI,4,P02.8a-g,none,no,none,medium
P05.6,44,P05.6-api-keys-secure-storage.md,05-quality-hardening,backend,identityaccess,api-keys,security,Move API Keys from appsettings.json to encrypted database storage,7,none,none,yes,group-E,medium
P06.1,45,P06.1-archive-historical-docs.md,06-cleanup-consolidation,documentation,cross-cutting,doc-archive,cleanup,Move e14-e18 + p0-p1 + n-trail docs to archive,5,P00.2,none,yes,group-F,low
P06.2,46,P06.2-consolidate-duplicate-docs.md,06-cleanup-consolidation,documentation,cross-cutting,doc-consolidate,cleanup,Merge overlapping status/roadmap documents into canonical versions,6,P00.1,none,yes,group-F,low
P06.3,47,P06.3-remove-commercial-governance.md,06-cleanup-consolidation,codebase,cross-cutting,commercial-gov,cleanup,Remove all references to removed Commercial Governance module,4,none,none,yes,group-F,low
P06.4,48,P06.4-remove-inmemory-incident-store.md,06-cleanup-consolidation,codebase,operationalintelligence,incident-store,cleanup,Verify and remove InMemoryIncidentStore residue,3,P01.2,none,yes,group-F,low
P06.5,49,P06.5-consolidate-roadmap.md,06-cleanup-consolidation,documentation,cross-cutting,roadmap,cleanup,Create single authoritative ROADMAP.md from audit findings,4,P00.1,none,yes,group-F,low
P06.6,50,P06.6-cleanup-replaced-mocks.md,06-cleanup-consolidation,codebase,governance,mock-cleanup,cleanup,Remove mock code confirmed replaced by real implementations,8,P03.4,none,no,none,medium
